Hotel,flablel,nflabel
hotel_100507,17,131
hotel_72572,13,68
hotel_73718,11,17
hotel_73727,6,17
hotel_73757,19,36
hotel_73799,14,30
hotel_73821,7,39
hotel_73943,17,121
hotel_73947,12,19
hotel_73950,6,21
hotel_73985,2,11
hotel_74051,12,17
hotel_74583,3,22
hotel_74626,16,80
hotel_76061,41,114
hotel_77055,13,75
hotel_77638,11,48
hotel_77917,18,69
hotel_80087,19,127
hotel_80774,52,109
hotel_80780,77,356
hotel_80784,89,146
hotel_80786,82,101
hotel_80788,38,57
hotel_80793,88,214
hotel_80797,37,203
hotel_80799,52,125
hotel_80802,52,196
hotel_80808,35,110
hotel_80836,26,46
hotel_80864,26,50
hotel_80879,18,40
hotel_80912,46,75
hotel_80917,28,62
